"model","3d","display_format","diagonal_size","review_date"
"Samsung PN63C7000 - 63' 3D plasma TV","Yes","1080p (FullHD)","63 in","Jul. 14, 2010"
"Samsung PN58C7000 - 58' 3D plasma TV","Yes","1080p (FullHD)","58 in","Jul. 14, 2010"
"Samsung PN50C7000","Yes","1080p (FullHD)","50 in","Jul. 14, 2010"
"Sony XBR 46HX909 - 46' 3D LED TV","Yes","1080p (FullHD)","46 in","Jun. 29, 2010"
"Sony XBR 52HX909 - 52' 3D LED TV","Yes","1080p (FullHD)","52 in","Jun. 29, 2010"
"Panasonic Viera TC-P50VT25","Yes","1080p","50 in","Jun. 16, 2010"
"Panasonic Viera TC-P54VT25","Yes","1080p (FullHD)","54 in","Jun. 16, 2010"
"Panasonic Viera TC-P65VT25","Yes","1080p","65 in","Jun. 16, 2010"
"Panasonic Viera TC-P58VT25","Yes","1080p","58 in","Jun. 16, 2010"
"Panasonic Viera TC-P46G25","","1080p","46 in","May. 11, 2010"
"Panasonic Viera TC-P46G25","","1080p","46 in","May. 11, 2010"
"Panasonic Viera TC-P50G25","","1080p (FullHD)","50 in","May. 11, 2010"
"Panasonic Viera TC-P54G25","","1080p","54 in","May. 11, 2010"
"LG 50PK750","","1080p","50 in","May. 4, 2010"
"LG 60PK750","","","","May. 4, 2010"
"Samsung UN55C8000","Yes","1080p (FullHD)","55 in","Apr. 7, 2010"
"Vizio SV422XVT","","1080p (FullHD)","42 in","Apr. 18, 2010"
"Samsung UN65C8000","Yes","1080p (FullHD)","65 in","Apr. 7, 2010"
"Samsung UN46C8000","Yes","1080p (FullHD)","46 in","Apr. 7, 2010"
"LG Infinia 55LE8500","","1080p (FullHD)","55 in","Mar. 28, 2010"
"LG Infinia 47LE8500","","1080p (FullHD)","47 in","Mar. 28, 2010"
"Sony Bravia KDL-46EX700","","1080p","46 in","Mar. 17, 2010"
"Sony Bravia KDL-40EX700","","","40 in","Mar. 17, 2010"
"Panasonic Viera TC-P54Z1","","1080p (FullHD)","54 in","Jan. 26, 2010"
"LG 42LH20","","720p","42 in","Nov. 29, 2009"
"Sony Bravia KDL-60EX700","","1080p (FullHD)","60 in","Mar. 17, 2010"
"Sharp LC-52LE700UN","","1080p (FullHD)","52 in","Oct. 16, 2009"
"Samsung UN46B8000","","1080p (FullHD)","46 in","Sep. 25, 2009"
"Samsung UN55B8000","","1080p (FullHD)","55 in","Sep. 25, 2009"
"Panasonic Viera TC-P50G10","","1080p (FullHD)","50 in","Sep. 16, 2009"
"Panasonic Viera TC-P46G10","","1080p (FullHD)","46 in","Sep. 16, 2009"
"Samsung PN50B860","","1080p (FullHD)","50 in","Aug. 25, 2009"
"Samsung PN50B860","","1080p (FullHD)","50 in","Aug. 25, 2009"
"Eviant T7 (black)","","","7 in","Aug. 10, 2009"
"Philips 47PFL6704D/F7","","1080p (FullHD)","47 in","Jul. 21, 2009"
"Samsung LN55B650","","1080p (FullHD)","55 in","Jun. 26, 2009"
"Sony KDL-40V5100","","1080p (FullHD)","40 in","Jun. 19, 2009"
"Panasonic Viera TC-P50V10","","1080p (FullHD)","50 in","Jun. 8, 2009"
"Samsung LN52B750","","1080p (FullHD)","52 in","May. 13, 2009"
"Samsung LN46B750","","1080p (FullHD)","46 in","May. 13, 2009"
"Samsung UN46B6000","","1080p (FullHD)","46 in","May. 1, 2009"
"Samsung UN55B6000","","1080p (FullHD)","55 in","May. 1, 2009"
"Toshiba 46XV545U","","1080p (FullHD)","46 in","Dec. 15, 2008"
"Sharp Aquos LC-52D65U","","1080p (FullHD)","52 in","Oct. 23, 2008"
"LG 37LH30","","1080p (FullHD)","37 in","Apr. 28, 2009"
"Sony Bravia KDL-40XBR6","","1080p (FullHD)","40 in","Oct. 7, 2008"
"Panasonic Viera TH-58PZ800U","","1080p (FullHD)","58 in","Oct. 2, 2008"
"Samsung LN55A950","","1080p (FullHD)","55 in","Sep. 10, 2008"
"Samsung LN40A550","","1080p (FullHD)","40 in","Aug. 8, 2008"
"Samsung LN52A550","","1080p (FullHD)","52 in","Aug. 8, 2008"
"Mitsubishi WD-65735","Yes","1080p (FullHD)","65 in","Jul. 31, 2008"
"Mitsubishi WD-60735","Yes","1080p (FullHD)","60 in","Jul. 31, 2008"
"Mitsubishi WD-73735","Yes","1080p (FullHD)","73 in","Jul. 31, 2008"
"Samsung LN37A550","","1080p (FullHD)","37 in","Aug. 8, 2008"
"Samsung LN52A750","","1080p (FullHD)","52 in","Jun. 25, 2008"
"Panasonic Viera TH-50PX80U","","720p","50 in","Apr. 29, 2008"
"Panasonic Viera TH-42PX80U","","720p","42 in","Apr. 29, 2008"
"Samsung LN52A650","","1080p (FullHD)","52 in","Apr. 28, 2008"
"Samsung LN46A650","","1080p (FullHD)","46 in","Apr. 28, 2008"
"Samsung LN40A650","","1080p (FullHD)","40 in","Apr. 28, 2008"
"Samsung LN37A450","","720p","37 in","Apr. 21, 2008"
"Samsung PN50A550","","1080p (FullHD)","50 in","Apr. 14, 2008"
"Philips 42PFL7432D","","1080p (FullHD)","42 in","Dec. 13, 2007"
"Sony KDS-60A3000","","1080p (FullHD)","60 in",""
"Samsung LN-T4671F","","1080p","46 in","Nov. 13, 2007"
"Sony Bravia KDL-40XBR4","","1080p (FullHD)","40 in","Sep. 27, 2007"
"Mitsubishi WD-57734","","1080p (FullHD)","57 in","Sep. 19, 2007"
"Panasonic Viera TH-58PZ700U","","1080p (FullHD)","58 in","Aug. 30, 2007"
"Westinghouse TX-42F430S - 42' LCD TV","","1080p (FullHD)","42 in",""
"Samsung HL-T6187S","","1080p (FullHD)","61 in","Jul. 18, 2007"
"Samsung LN-T1953H","","720p","19 in","Apr. 23, 2007"
"JVC HD-65S998","","1080p (FullHD)","65 in","Apr. 17, 2007"
"Panasonic Viera TH-42PX77U","","720p","42 in","Apr. 12, 2007"
"Sony KDS-60A2020","","1080p (FullHD)","60 in","Mar. 7, 2007"
"Sony KDS-50A2020","","1080p (FullHD)","50 in","Mar. 7, 2007"
"Sony KDS-55A2020","","1080p (FullHD)","55 in","Mar. 7, 2007"
"Hannspree JT01-32U1-000G","","720p","32 in","Feb. 9, 2007"
"JVC HD-61FN97","","1080p (FullHD)","61 in","Nov. 14, 2006"
"Sony KDS-R70XBR2","","1080p (FullHD)","70 in","Nov. 12, 2006"
"Sony KDS-R60XBR2","","1080p (FullHD)","60 in","Nov. 12, 2006"
"Sony KDS-55A2000","","1080p (FullHD)","55 in","Aug. 3, 2006"
"Sony KDS-50A2000","","1080p (FullHD)","50 in","Aug. 3, 2006"
"JVC HD-56G887","","720p","56 in","Jul. 6, 2006"
"Samsung HL-S5087W","","1080p (FullHD)","50 in","Jun. 29, 2006"
"JVC HD-56FH96","","1080p (FullHD)","56 in","Feb. 27, 2006"
"HP MD6580n","","1080p (FullHD)","65 in","Nov. 27, 2005"
"Mitsubishi WD-62628","","1080p (FullHD)","62 in","Nov. 21, 2005"
"Samsung HL-R5668W","","1080p (FullHD)","56 in","Nov. 21, 2005"
"Panasonic TH-42PX50U","","720p","42 in","Aug. 17, 2005"
"Sony KDF-E42A10","","720p","42 in","Jul. 29, 2005"
"Panasonic PT-61LCX65","","720p","61 in","Oct. 24, 2005"
"Sony MFM-HT75W","","","17 in","Jun. 26, 2005"
"Hitachi 50VS810","","720p","50 in","Dec. 19, 2004"
"RCA HD61THW263","","720p","61 in","Dec. 10, 2004"
"Samsung HL-P5685W - 56' rear projection TV","","720p","56 in","Dec. 7, 2004"
"Sony KDF-50WE655","","","50 in","Oct. 18, 2004"
"JVC HD-61Z575","","720p","61 in","Sep. 20, 2004"
"Dell W2600 26' LCD TV (2-yr CompleteCare)","","720p","26 in","Oct. 10, 2004"
"Vizio RP56","","720p","56 in","Jul. 29, 2004"
"Sony KDF-70XBR950","","720p","70 in","Jun. 16, 2004"
"Samsung LTN325W","","720p","32 in","Feb. 26, 2004"
"Dell W1700 17-inch LCD TV with 3-year CompleteCare Service","","","17 in","Dec. 16, 2003"
"Sony XBR Grand WEGA KF-50XBR800","","720p","50 in","Dec. 3, 2002"
"Gateway DLP56TV","","720p","56 in","Feb. 3, 2004"
"Sony KF-60XBR800","","720p","60 in","Dec. 3, 2002"
"Hisense 50K316DW","Yes","1080p","50 in",""
"Samsung UN60H7150","","1080p","60 in",""
"Tivax HiRez9","","","",""
"Samsung UN65HU9000","","4K (2160p)","65 in",""
"LG 55LN5100","No","1080p","55 in",""
"Samsung UN110S9","","4K (2160p)","110 in",""
"LG 55LN5400","","1080p","55 in",""
"LG 65UB9800","Passive 3D","4K (2160p)","65 in",""
"LG 60PN5700","","1080p","60 in",""
"Disney HS1500LT (High School Musical)","","","15 in",""
"LG 60LN5600","","1080p","60 in",""
"Sony 4K OLED TV","","","",""
"Emerson LC320EMXF","","","32 in",""
"Sony KDL-65W850A","Active 3D","","65 in",""
"LG 55LB6300","","1080p","55 in",""
"Sharp AQUOS Quattron Plus UQ series","","","",""
"RCA DMT270R","","","7.0 in",""
"Westinghouse EW37S5KW","No","720p","37 in",""
"LG 55LB6500","Passive 3D","1080p","55 in",""
"LG 55LN5710","","1080p","55 in",""
"LG 79UB9800","Passive 3D","4K (2160p)","79 in",""
"Toshiba 65L9400","","4K (2160p)","65 in",""
"Emerson LC220EM2","","","",""
"Toshiba 55L7400","","1080p","55 in",""
"LG 60PN6500","","1080p","60 in",""
"LG 55EA8800","","","55 in",""
"Samsung UN78HU9000","","","",""
"Sansui SLEDVD197","","720p","19 in",""
"Sharp LB-T422U - 42' LED TV","","1080p (FullHD)","42 in",""
"Sceptre E325BV-HDC","","720p","32 in",""
"LG 47LB6500","Passive 3D","1080p","47 in",""
"Samsung KN55F9500 Real OLED TV","","","55 in",""
"Sharp Aquos Quattron LC-70LE845U","Yes","1080p","70 in",""
"Haier HLT71","","","7 in",""
"Samsung UN32EH5000","","1080p (FullHD)","32 in",""
"Sony Bravia KDL-55W955","Yes","","",""
"Samsung UN55D6003","","","55 in",""
"LG 65LA9700","Passive 3D","4K UHDTV (2160p)","65 in",""
"LG 55LN5600","","1080p","55 in",""
"Samsung UN65HU8700","","4K (2160p)","65 in",""
"LG 50PN6500","","1080p","50 in",""
"Sharp LC 60LE600U - 60' Class ( 60.03' viewable ) LED TV","","1080p (FullHD)","60 in",""
"LG 47LB6500","Passive 3D","1080p","47 in",""
"Sharp Aquos Quattron LC-70LE845U","Yes","1080p","70 in",""
"Panasonic TC-L50ET60","Yes","1080p","50 in",""
"Samsung HP-R4272","","720p","42 in",""
"Mitsubishi WD-82837","","1080p (FullHD)","82 in",""
"LG Infinia 47LX6500","Yes","1080p (FullHD)","47 in",""
"Samsung HG40NA577","","1080p (FullHD)","40 in",""
"Samsung LN26D450 - 26' LCD TV","","720p","26 in",""
"Toshiba 55G310U - 55' Class ( 54.6' viewable ) LCD TV","","1080p (FullHD)","55 in",""
"Haier HL40XP1","","1080p (FullHD)","40 in",""
"Samsung UN32H6350 - 32' Class ( 31.5' viewable ) LED TV","","1080p (FullHD)","32 in",""
"LG 47LP645H - 47' Pro:Idiom LED TV","","1080p (FullHD)","47 in",""
"RCA LED52B45RQ","","1080p (FullHD)","52 in",""
"LG 60PN5300","","1080p","60 in",""
"VIZIO Theater 3D M3D470KDE - 47' Class ( 46.96' viewable ) 3D LED TV","Yes","1080p (FullHD)","47 in",""
"Sansui SLEDVD197","","720p","19 in",""
"Sceptre E325BV-HDC","","720p","32 in",""
"LG 24LN4510","","720p","24 in",""
"LG 26LQ630H - 26' Pro:Idiom LED TV","","720p","26 in",""
"RCA Commercial J22CE820 - 22' Class ( 21.6' viewable ) LED TV","","720p","22 in",""
"Naxa NTD-1354 - 13.3' LED TV","","","13.3 in",""
"LG 42LM3400","Passive 3D","1080p","42 in",""
"LG 50PN4500","","720p","50 in",""
"Envizen HR-701 Home Roam TV","","","7.0 in",""
"Sony KDL-55W950B","","1080p","55 in",""
"Naxa NT-2207 - 22' LED TV","","1080p (FullHD)","22 in",""
"Samsung HL-S6188W","","1080p (FullHD)","61 in",""
"Philips 32PFL4908 - 32' Class ( 31.5' viewable ) LED TV","","720p","32 in",""
"NEC MultiSync P402-AVT","","1080p (FullHD)","40 in",""
"Samsung UN55ES7100","Active 3D","1080p","55 in",""
"Sony XBR-84X900","Passive 3D","1080p","84 in",""
"Samsung UN32EH5300","No","1080p","32 in",""
"Samsung UN55ES6600 - 55' Class ( 54.6' viewable ) 3D LED TV","Yes","1080p (FullHD)","55 in",""
"Sharp LC 80LE633U - 80' LED TV","","1080p (FullHD)","80 in",""
"Kenwood LZ-700W","","","7 in",""
"Samsung MD32B - 32' LED-backlit LCD flat panel display","","1080p (FullHD)","32 in",""
"Sony Bravia KDL-46HX800","Yes","1080p","",""
"LG 50LN5200","No","1080p","50 in",""
"Panasonic TC-L50EM60","","1080p (FullHD)","50 in",""
"Sharp Aquos Quattron LC-52LE835U","Yes","1080p (FullHD)","52 in",""
"Haier HLTC15DC w/built-in DVD player","","720p","15.6 in",""
"LG 105UC9","","","",""
"Toshiba 58L5400","","1080p","58 in",""
"Sceptre X320BV-ECO","No","1080p","32 in",""
"GPX TDE3253B - 32' LED TV","","720p","32 in",""
"LG 60LB7100","","","60 in",""
"Sharp LC-60LE550U","","1080p (FullHD)","60 in",""
"Samsung UN55H6350 - 55' LED TV","","1080p (FullHD)","55 in",""
"Polaroid 32GSD3000 - 32' Class ( 31.5' viewable ) LED TV","","720p","32 in",""
"Westinghouse DW39F1Y1 - 39' Class ( 38.5' viewable ) LED TV","","1080p (FullHD)","39 in",""
"Sharp LC 60TQ15U - 60' 3D LED TV","Yes","1080p (FullHD)","60 in",""
"Sharp LC-32SB23U","","720p","32 in",""
"Supersonic SC-1912 - 19' LED TV","","720p","19 in",""
"Sharp LC-60E77UN","","1080p (FullHD)","60 in",""
"Haier LE32F2220 - 32' Class ( 31.5' viewable ) LED TV","","720p","32 in",""
"LG 42LQ640H - 42' Pro:Idiom LED TV","","1080p (FullHD)","42 in",""
"Sharp Aquos LC-70C8470U","Active 3D","1080p","70 in",""
"Haier HL37B","","720p","37 in",""
"Sansui SLED3200","","720p","32 in",""
"Samsung HG26NA470","","720p","26 in",""
"Vizio M650VSE","","1080p","65 in",""
"Sansui SLED3228 - 32' Class ( 31.5' viewable ) LED TV","","720p","32 in",""
"Toshiba 32L1350UC - 32' LED TV","","720p","32 in",""
"Samsung UN65H6350 - 65' Class ( 64.5' viewable ) LED TV","","1080p (FullHD)","65 in",""
"Sharp LC 32LE451U - 32' Class ( 31.5' viewable ) LED TV","","720p","32 in",""
"Philips 32PFL4508","","720p","32 in",""
"Sharp LC 60C6500U - 60' LED TV","","1080p (FullHD)","60 in",""
"LG 39LN5700","","1080p (FullHD)","39 in",""
"Sony XBR-79X900B - 79' Class ( 78.6 viewable ) 3D LED TV","Yes","4K UHDTV (2160p)","79 in",""
"Element ELCFW329 - 32' Class ( 31.5' viewable ) LCD TV","","720p","32 in",""
"Toshiba 40L2200U - 40' LED TV","","1080p (FullHD)","40 in",""
"LG 29LN4510","","720p","29 in",""
"Seiki SE222FS - 22' Class ( 21.6' viewable ) LED TV","","720p","22 in",""
"VIZIO E-series E221-A1 - 22' Class ( 21.53' viewable ) LED TV","","1080p (FullHD)","22 in",""
"Samsung PN58C6400","","1080p (FullHD)","58 in",""
"Samsung PN60E530 - 60' Class ( 59.9' viewable ) plasma TV","","1080p (FullHD)","60 in",""
"Sony KDF-60XS955","","","60 in",""
"Samsung HP-T5054","","720p","50 in",""
"JVC HD-61Z585","","720p","61 in",""
"Sony KDF-55XS955","","","55 in",""
"Hitachi 50V720","","720p","50 in",""
"Samsung UN85S9AF","Active 3D","4K (2160p)","85 in",""
"Philips Magnavox 19MD301B - 19' LCD TV","","720p","19 in",""
"Samsung UN55ES7150F","Active 3D","1080p","55 in",""
"Seiki SE46FY10 - 46' LED TV","","1080p (FullHD)","46 in",""
"Sansui SLED3900 - 39' Class ( 38.57' viewable ) LED TV","","1080p (FullHD)","39 in",""
"Samsung UN40FH6030 - 40' 3D LED TV","Yes","1080p (FullHD)","40 in",""
"Philips 50PFL3908 - 50' Class ( 49.5' viewable ) LED TV","","1080p (FullHD)","50 in",""
"Sony KDL-46R453A","","1080p","46 in",""
"Hannspree HANNS football (ST28HMUB)","","1080p (FullHD)","28 in",""
"JVC HD56G786 56 Inch Rear Projection D-ILA HDTV","","720p","56 in",""
"Naxa NTD-1952 - 19' LED TV","","720p","19 in",""
"Vizio E470i-A0","","1080p (FullHD)","47 in",""
"Seiki SC501TS","","1080p","50 in",""
"Samsung UN46ES7100","Active 3D","1080p","46 in",""
"LG 55LA7400","Yes","1080p","55 in",""
"Toshiba 40L1400U - 40' LED TV","","1080p (FullHD)","40 in",""
"Samsung PN58C550","","1080p (FullHD)","58 in",""
"Sceptre E243WV-FHD","","1080p (FullHD)","23 in",""
"Samsung HG55NC690EF - 55' Pro:Idiom LED TV","","1080p (FullHD)","55 in",""
"LG 50LN5700 - 50' Class ( 49.5' viewable ) LED TV","","1080p (FullHD)","50 in",""
"Panasonic TC L47WT60 - 47' Class ( 46.9' viewable ) 3D LED TV","Yes","1080p (FullHD)","47 in",""
"Chi Mei DTC-37MK","","720p","37 in",""
"Sharp LC 60LE920UN - 60' LED TV","","1080p (FullHD)","60 in",""
"ViewSonic VT2756-L - 27' LED TV","","1080p (FullHD)","27 in",""
"LG 60LN6150","","1080p (FullHD)","60 in",""
"Sony Bravia KDL-55EX620","","1080p","60 in",""
"VIZIO E280i-B1 - 28' Class ( 27.51' viewable ) LED TV","","720p","28 in",""
"Mitsubishi WD-73733","","1080p (FullHD)","73 in",""
"Toshiba 40L2400U - 40' LED TV","","1080p (FullHD)","40 in",""
"Samsung UN55D6500 - 55' Class ( 54.6' viewable ) 3D LED TV","Yes","1080p (FullHD)","55 in",""
"Seiki SE50FY10 - 50' Class ( 49.5' viewable ) LED TV","","1080p (FullHD)","50 in",""
"Philips Magnavox 39ME413V - 39' Class ( 38.6' viewable ) LED TV","","1080p (FullHD)","39 in",""
"Samsung PN51D530 - 51' plasma TV","","1080p (FullHD)","51 in",""
"Hitachi LE48W806","Yes","1080p (FullHD)","48 in",""
"GPX TDE2282B - 21.5' LED TV","","1080p (FullHD)","21.5 in",""
"Toshiba TD-Z471 - 47' LED-backlit LCD flat panel display","","1080p (FullHD)","47 in",""
"Haier HL42XD2","","1080p (FullHD)","42 in",""
"RCA LED24B45RQ","","1080p (FullHD)","24 in",""
"LG 47LA6900","Passive 3D","1080p (FullHD)","47 in",""
"COBY LEDTV4626 - 46' LED TV","","1080p (FullHD)","46 in",""
"Samsung UN46ES7500","Active 3D","1080p","46 in",""
"Samsung UN55D7000","Yes","1080p","55 in",""
"NEC MultiSync P463-AVT - 46' LED TV","","1080p (FullHD)","46 in",""
"NEC MultiSync X551S-AVT","","1080p (FullHD)","55 in",""
"Philips 40PFL4707","","1080p (FullHD)","40 in",""
"Philips 46PFL3708 - 46' LED TV","","1080p (FullHD)","46 in",""
"Westinghouse LD-3260 - 32' Class ( 31.5' viewable ) LED TV","","720p","32 in",""
"Samsung UN40D6500 - 40' 3D LED TV","Yes","1080p (FullHD)","40 in",""
"Sony KDL-40W600B - 40' LED TV","","1080p (FullHD)","40 in",""
"Westinghouse VR-6025Z","","1080p (FullHD)","60 in",""
"ProScan PLED2243A","","1080p (FullHD)","22 in",""
"Toshiba 65L7300U","","1080p (FullHD)","65 in",""
"Sharp Aquos LC-65SE94U","","1080p (FullHD)","65 in",""
"Toshiba 50L1400U - 50' Class ( 49.5' viewable ) LED TV","","1080p (FullHD)","50 in",""
"Toshiba 50L2400U - 50' Class ( 49.5' viewable ) LED TV","","1080p (FullHD)","50 in",""
"Westinghouse UW32S3PW","","720p","32 in",""
"LG 55LA8600 - 55' Class ( 54.6' viewable ) 3D LED TV","Yes","1080p (FullHD)","55 in",""
"Coby LEDTV3916","","1080p (FullHD)","39 in",""
"NEC MultiSync V551-AVT","","1080p (FullHD)","55 in",""
"TCL LE32HDF3010 - 32' Class ( 31.5' viewable ) LED TV","","720p","32 in",""
"LG 60LS5750 - 60' Class ( 59.8' viewable ) LED TV","","1080p (FullHD)","60 in",""
"Azend Envizen Digital Home Roam TV - 7' LCD TV","","","7 in",""
"Sharp LC 60LE832U - 60' Class ( 60.03' viewable ) LED TV","","1080p (FullHD)","60 in",""
"Toshiba 39L4300UC - 39' LED TV","","1080p (FullHD)","39 in",""
"Panasonic TC-P50X60","","720p","50 in",""
"Hitachi L19D103","","720p","19 in",""
"Envizen Digital Duo Box Pro ED8850B","","","7 in",""
"Vizio E420VA","","1080p (FullHD)","42 in",""
"RCA LED40C45RQ - 40' LED TV","","1080p (FullHD)","40 in",""
"Samsung MD46B - 46' LED TV","","1080p (FullHD)","46 in",""
"Samsung KN55S9C","Active 3D","1080p","55 in",""
"Philips 32PFL5708 - 32' Class ( 31.5' viewable ) LED TV","","1080p (FullHD)","32 in",""
"Vizio E420VO","No","1080p (FullHD)","42.0 in",""
"Sony Bravia KDL-65HX729","Active 3D","1080p","65 in",""
"Haier L24B2120","","720p","24 in",""
"Sansui SLED2900 - 29' Class ( 28.5' viewable ) LED TV","","720p","29 in",""
"VIZIO E470VLE - 47' LCD TV","","1080p (FullHD)","47 in",""
"PROSCAN PLDED5030A-RK - 50' LED TV","","1080p (FullHD)","50 in",""
"LG 47LB6300 - 47' Class ( 46.9' viewable ) LED TV","","1080p (FullHD)","47 in",""
"Hannspree HANNS basketball (ST285MUB)","","1080p (FullHD)","28 in",""
"Azend Envizen Digital Home Roam TV - 7' LCD TV","","","7 in",""
"Toshiba 39L4300UC - 39' LED TV","","1080p (FullHD)","39 in",""
"Panasonic TC-P50X60","","720p","50 in",""
"Panasonic TC-L50EM5","","1080p","50 in",""
"Sceptre X320BV-HD","","720p","32 in",""
"Toshiba 55L7400U - 55' Class ( 54.6' viewable ) LED TV","","1080p (FullHD)","55 in",""
"LG 47LG50","","1080p (FullHD)","47 in",""
"Toshiba 50L4300U","","1080p (FullHD)","50 in",""
"Sharp LC 60LE857U - 60' 3D LED TV","Yes","1080p (FullHD)","60 in",""
"Samsung UN46F6300 - 46' Class ( 45.9' viewable ) LED TV","","1080p (FullHD)","46 in",""
"NEC MultiSync V801-AVT","","1080p (FullHD)","80 in",""
"Samsung HG46NA570 - 46' LED TV","","1080p (FullHD)","46 in",""
"Samsung LN52B550 - 52' LCD TV","","1080p (FullHD)","52 in",""
"Vizio E291-A1","","720p","29 in",""
"Sansui SLED4215 - 42' LED TV","","1080p (FullHD)","42 in",""
"LG 60PM6700","Active 3D compatible","1080p","60 in",""
"JVC HD-56FH97","","1080p (FullHD)","56 in",""
"LG 55LH85","","1080p (FullHD)","55 in",""
"Haier LE46B1381","","1080p (FullHD)","46 in",""
"Samsung SyncMaster ME46B","","1080p (FullHD)","46 in",""
"COBY LEDTV2326 - 23' LED TV","","1080p (FullHD)","23 in",""
"Samsung PN60F5300","","1080p","60 in",""
"Audiovox VE VE727 - 7' LCD TV","","","7 in",""
"Samsung UN55H7150 - 55' Class ( 54.6' viewable ) 3D LED TV","Yes","1080p (FullHD)","55 in",""
"LG 50PB6600 - 50' Class ( 49.9' viewable ) plasma TV","","1080p (FullHD)","50 in",""
"LG 55LN5790 - 55' Class ( 54.6' viewable ) LED TV","","1080p (FullHD)","55 in",""
"Samsung UN46EH6070 and 3D Blu-ray Disc Player (bundle)","Yes","1080p","46 in",""
"LG 55LN541C - 55' Class ( 54.6' viewable ) LED TV","","1080p (FullHD)","55 in",""
"LG 47LG90","","1080p (FullHD)","47 in",""
"Samsung LC-60LE755U","Active 3D","1080p","60 in",""
"Samsung UN48H6350 - 48' Class ( 47.6' viewable ) LED TV","","1080p (FullHD)","48 in",""
"Samsung UN39FH5000F","","1080p","39 in",""
"Samsung PN63B550","","1080p (FullHD)","63 in",""
"Samsung UN46D6500 - 46' Class ( 45.9' viewable ) 3D LED TV","Yes","1080p (FullHD)","46 in",""
"Samsung UN40EH5300","","1080p (FullHD)","40 in",""
"ViewSonic VT3200-L - 32' LED-backlit LCD flat panel display","","1080p (FullHD)","32 in",""
"Samsung UN40ES6150F","","1080p","40 in",""
"LG 37LD450","","1080p (FullHD)","37 in",""
"Samsung UN46F6350 - 46' Class ( 45.9' viewable ) LED TV","","1080p (FullHD)","46 in",""
"Sharp LC 52LE820UN - 52' LED TV","","1080p (FullHD)","52 in",""
"Samsung HL-S5088W","","1080p (FullHD)","50 in",""
"Samsung ME46C - 46' Class ( 45.9' viewable ) LED-backlit LCD flat panel display","","1080p (FullHD)","46 in",""
"Samsung HG46NB677FF - 46' Pro:Idiom LED TV","","1080p (FullHD)","46 in",""
"Samsung UN50HU8550","Yes","4K UHDTV (2160p)","50 in",""
